trial,variable,group,participants,mean,sd,decimals,type,name
1,1,1,105,0.9047619047619048,NA,3,2,lungtime_c01_s41591_025_04181
1,1,2,105,0.9047619047619048,NA,3,2,lungtime_c01_s41591_025_04181
1,2,1,105,0.8,NA,3,2,lungtime_c01_s41591_025_04181
1,2,2,105,0.8285714285714286,NA,3,2,lungtime_c01_s41591_025_04181
1,3,1,105,0.3619047619047619,NA,3,2,lungtime_c01_s41591_025_04181
1,3,2,105,0.3047619047619048,NA,3,2,lungtime_c01_s41591_025_04181
1,4,1,105,0.5714285714285714,NA,3,2,lungtime_c01_s41591_025_04181
1,4,2,105,0.5333333333333333,NA,3,2,lungtime_c01_s41591_025_04181
1,5,1,105,0.22857142857142856,NA,3,2,lungtime_c01_s41591_025_04181
1,5,2,105,0.1619047619047619,NA,3,2,lungtime_c01_s41591_025_04181
1,6,1,105,0.1238095238095238,NA,3,2,lungtime_c01_s41591_025_04181
1,6,2,105,0.1523809523809524,NA,3,2,lungtime_c01_s41591_025_04181
1,7,1,105,0.05714285714285714,NA,3,2,lungtime_c01_s41591_025_04181
1,7,2,105,0.09523809523809525,NA,3,2,lungtime_c01_s41591_025_04181
1,8,1,105,0.3904761904761905,NA,3,2,lungtime_c01_s41591_025_04181
1,8,2,105,0.4476190476190477,NA,3,2,lungtime_c01_s41591_025_04181
1,9,1,105,0.29523809523809524,NA,3,2,lungtime_c01_s41591_025_04181
1,9,2,105,0.2761904761904762,NA,3,2,lungtime_c01_s41591_025_04181
1,10,1,105,0.24761904761904763,NA,3,2,lungtime_c01_s41591_025_04181
1,10,2,105,0.20952380952380953,NA,3,2,lungtime_c01_s41591_025_04181
1,11,1,105,0.06666666666666667,NA,3,2,lungtime_c01_s41591_025_04181
1,11,2,105,0.06666666666666667,NA,3,2,lungtime_c01_s41591_025_04181
1,12,1,105,0.7714285714285715,NA,3,2,lungtime_c01_s41591_025_04181
1,12,2,105,0.7714285714285715,NA,3,2,lungtime_c01_s41591_025_04181
1,13,1,105,0.5333333333333333,NA,3,2,lungtime_c01_s41591_025_04181
1,13,2,105,0.4095238095238095,NA,3,2,lungtime_c01_s41591_025_04181
1,14,1,105,0.7523809523809524,NA,3,2,lungtime_c01_s41591_025_04181
1,14,2,105,0.6952380952380952,NA,3,2,lungtime_c01_s41591_025_04181
1,15,1,105,0.6,NA,3,2,lungtime_c01_s41591_025_04181
1,15,2,105,0.5523809523809524,NA,3,2,lungtime_c01_s41591_025_04181
1,16,1,105,0.3333333333333333,NA,3,2,lungtime_c01_s41591_025_04181
1,16,2,105,0.3523809523809524,NA,3,2,lungtime_c01_s41591_025_04181
1,17,1,105,0.06666666666666667,NA,3,2,lungtime_c01_s41591_025_04181
1,17,2,105,0.09523809523809525,NA,3,2,lungtime_c01_s41591_025_04181
