study_id,repository_type,url,source_pdf,page,text_id,context
lungtime,github,https://github.com/therneau/survival)39,s41591-025-04181-w.pdf,10,10,"ards assumption for the Cox model was assessed using the Sch - oenfeld residuals test, implemented via the ‘cox.zph’ function in the survival package (v3.3.1, https://github.com/therneau/survival)39. A P value <0.05 was considered indicative of a violation of this assumption. Comparisons were conducted among patients with complete lymphocyte data at all t"
lungtime,github,https://github.com/mike-lawrence/ez,s41591-025-04181-w.pdf,10,10,"to assess the impact of time point and T oD of immunotherapy on the ratios of lymphocyte subsets by using the ‘ezANOVA()’ function in the ez package (v4.4.0, https://github.com/mike-lawrence/ez). The P value for the main effect of the T oD group was reported. We compared slopes across T oD groups using the methods presented by Nekola and White. This"
