study_id,source_type,source_pdf,source_path,sha256,n_pages
lungtime,report|baseline,s41591-025-04181-w.pdf,Checkpoint Inhib Time of Day/s41591-025-04181-w.pdf,d692e5f74359f30f47cdf0a4d6b43931f007e2e9b7c0f1069e2f3cdbee8f5d9d,25
lungtime,protocol|supplement,41591_2025_4181_MOESM1_ESM.pdf,Checkpoint Inhib Time of Day/41591_2025_4181_MOESM1_ESM.pdf,e7ff522fa7ef1c5570683c1c79fb67f03fa9ea11c38f60d77a431b198938c685,57
