study_id,source_pdf,page,text_id,url,url_type,context
lungtime,s41591-025-04181-w.pdf,11,11,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Early ToD group Late ToD group ToD group A B 7:00 8:00 9:00 10:00 11:00 12:00 13:00 14:00 15:00 16:00 17:00 18:00 19:00 20:00 21:00 0 30 60 90 120 150 180 210
lungtime,s41591-025-04181-w.pdf,12,12,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Characteristics ToD group Total (N) Sex HR (95% CI) Univariate analysis Age Smoking history ECOG PS Histology Brain metastasis Liver metastasis PD-L1 TPS ICIs
lungtime,s41591-025-04181-w.pdf,13,13,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Extended Data Fig. 2 | Univariate and multivariate Cox regression analyses of patient characteristics. (a) Forest plots of the univariate and multivariate Cox
lungtime,s41591-025-04181-w.pdf,14,14,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w 0 10 20 30 40 50 60 70 80 90 100 110 PR SD PD P = 0.046 n = 73 n = 31 n = 40 n = 59 Early ToD group Late ToD group Percent (%) n = 1 n = 6 Response Extended Da
lungtime,s41591-025-04181-w.pdf,15,15,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w B Ratio of percentage (% in PBMC) I CD8+ /CD4+ T cells 0.5 1.0 1.5 2.0 Ratio of percentage (% in PBMC) CD8+ T cells 0.6 0.8 1.0 1.2Ratio of percentage (% in PB
lungtime,s41591-025-04181-w.pdf,16,16,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w E CD38+ HLA-DR+ /TIM-3+ PD-1+ CD8+ T cells C CD38+ HLA-DR+ CD8+ T cells Ratio of percentage (% in CD8+ T cells) D TIM-3+ PD-1+ CD8+ T cells Ratio of percentage
lungtime,s41591-025-04181-w.pdf,17,17,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Extended Data Table 1 | Information about the clinical trial Early ToD group Late ToD group Enrollment time (year, month) 2022.9 - 2024.5 Duration of foll"
lungtime,s41591-025-04181-w.pdf,18,18,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Extended Data Table 2 | Treatment-related adverse events during all treatments Any grade Grade 3-4 Early ToD group (n, %) Late ToD group (n, %) Early"
lungtime,s41591-025-04181-w.pdf,19,19,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,"Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Extended Data Table 3 | Immune-related adverse events during all treatments Any grade Grade 3-4 Early ToD group (n, %) Late ToD group (n, %) Early To"
lungtime,s41591-025-04181-w.pdf,20,20,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,Nature Medicine Article https://doi.org/10.1038/s41591-025-04181-w Extended Data Table 4 | Baseline demographics and disease characteristics of patients included in the flow cytometry analysis by study group Characteristics
lungtime,41591_2025_4181_MOESM1_ESM.pdf,1,26,https://doi.org/10.1038/s41591-025-04181-w,publication_identifier,nature medicine https://doi.org/10.1038/s41591-025-04181-w Article Time-of-day immunochemotherapy in nonsmall cell lung cancer: a randomized phase 3 trial In the format provided by the authors and unedited Supplemen
